seqID	mt	X	Y	total_reads	gcc_reads
GLRGC0194	7810	637256	78736	25437186	25460298
GLRGC0384	4985	763277	89635	30784564	30892219
GLRHD0587	2657	800841	5545	16954910	16982260
GLRGC0347	2078	1090662	6683	22315615	22364449
GLRGC0277	2631	1645066	11377	34237522	34311835
GLRHD0436	561	1035150	6491	21989723	22055160
GLRHD0894	2171	1183114	7074	24117850	24189546
GLRGC0372	1375	656597	69867	25129880	25198433
GLRGC0442	3170	670377	75686	26878194	26895360
GLRGC0094	3433	706377	81845	27890055	27958806
GLRLC0047	5441	569868	67184	22831660	22872749
GLRLC0084	1472	537679	65798	21261088	21302890
GLRHD0508	1702	711322	85352	28446654	28481744
GLRGC0329	1695	652095	73183	26278002	26310386
GLRGC0208	5726	771608	86829	31476229	31475609
GLRHD0914	2005	1200928	7476	24801294	24840954
GLRHD0822	1903	526171	65153	20802918	20837080
GLRHD0904	3598	619182	70225	24798162	24842018
GLRHD0890	369	1543292	9665	31422970	31517236
GLRGC0398	2685	455649	53446	18109609	18145235
GLRHD0958	2960	1009118	123045	40420433	40493388
GLRGC0315	529	1175362	7383	24625057	24665159
GLRHD0648	7025	695014	74101	28326203	28351692
GLRGC0017	2186	762270	92235	30214087	30258111
GLGHD1003	23906	1293892	10382	26966204	26965469
GLRGC0135	7036	1011922	112995	39762869	39807883
GLRGC0161	1054	973536	7969	19794961	19806683
GLRGC0374	3215	1380745	7955	26928142	26972053
GLRHD0855	524	667438	78494	26956424	26983044
GLRHD0656	2467	1275090	7411	25135731	25192749
GLRBC0027	2283	1023855	6458	21074791	21120208
GLRHD0835	951	730121	89326	28931987	29012327
GLRHD0921	2920	1382269	7973	27726556	27824172
GLRHD0930	1058	960909	6623	20106541	20151631
GLRHD0517	2386	545218	59819	22395966	22458602
GLRGC0111	4088	647406	77297	25429755	25485423
GLRGC0270	1022	1733561	10130	34860803	34947114
GLRGC0255	2118	1152939	7319	22949561	22984687
GLRGC0227	1073	1057868	7173	22304158	22366610
GLRGC0225	1173	1427529	12447	29761223	29835602
GLRHD0687	1450	706139	83812	28230958	28266748
GLRGC0231	955	1799066	11926	37771032	37850857
GLRHD0871	1718	1491003	8747	30207664	30279691
GLRHD0738	1679	642697	76056	26091619	26137653
GLRHD0811	649	1315895	7607	25491334	25560130
GLRTC0010	4392	1189430	8123	24333907	24378166
GLRGC0483	3485	745931	90304	29379665	29455930
GLRHD0898	2747	618883	70313	25070295	25128631
GLRGC0420	915	924986	108811	37829738	37878110
GLRHD0826	1344	1176870	7356	23960499	24021026
GLRHD0337	1460	586233	68470	23416486	23476649
GLRGC0381	1464	664778	78316	26356479	26419717
GLRHD0881	1533	972624	6692	19458201	19529664
GLRHD0935	2772	1115795	6027	22875750	22934449
GLRHD0819	1559	538538	60302	21812177	21865152
GLRGC0009	1256	1446799	9503	29054012	29119943
GLRHD0632	1715	606742	70520	24421158	24459147
GLRGC0427	3482	1530836	11909	31295628	31320524
GLRHD0852	1835	1484495	11174	30912724	30971636
GLRGC0357	2742	1200243	7193	24476464	24506388
GLRHD0944	1627	733313	83926	29188234	29244319
GLRHD0831	522	1160409	8570	24422865	24490165
GLRGC0424	6451	803650	92257	31938663	32003202
GLRBC0044	584	1120600	6657	22748576	22792776
GLRHD0665	2036	642075	72717	25978502	26027554
GLRGC0181	1817	711602	79410	28263900	28343940
GLRHD0418	337	644238	79488	25705703	25746121
GLRHD0934	1422	598344	68378	24149920	24187736
GLRHD0644	753	1177860	7332	25230676	25286639
GLRTC0043	2467	1287267	8247	25757665	25820538
GLRGC0333	4871	1324286	11316	27250452	27252111
GLRCRC0070	2067	657690	73680	26280261	26320197
GLRGC0452	2940	999921	118199	39877003	40021618
GLRHD0557	2793	578447	66354	22834558	22873039
GLRGC0061	2910	578622	68060	22612878	22663050
GLRHD0929	480	602837	72249	24169491	24219007
GLRGC0441	3887	774160	88117	31129591	31188575
GLRGC0339	8158	1532859	11256	32971783	33030001
