type,AUC,AUC-ALL,top_feature,n_pcas,cb_AUC,lr_AUC,90%.sens-I,90%.sens-II,90%.sens-III,90%.sens,90%.spec,95%.sens-I,95%.sens-II,95%.sens-III,95%.sens,95%.spec,98%.sens-I,98%.sens-II,98%.sens-III,98%.sens,98%.spec
TRAIN_CV,0.657569,0.657569,20,0,0.6608033826638479,0.586997885835095,0.257,0.182,0.239,0.242,0.905,0.184,0.121,0.13,0.163,0.955,0.044,0.061,0.043,0.047,0.982
TRAIN_CV,0.664313,0.664313,30,0,0.6857928118393235,0.5703594080338266,0.324,0.333,0.304,0.321,0.905,0.191,0.152,0.13,0.172,0.955,0.059,0.061,0.022,0.051,0.982
TRAIN_CV,0.699577,0.699577,60,0,0.7328329809725158,0.5776532769556026,0.265,0.242,0.196,0.247,0.905,0.169,0.121,0.087,0.144,0.955,0.088,0.091,0.087,0.088,0.982
TRAIN_CV,0.693531,0.693531,70,0,0.7386680761099366,0.5538900634249471,0.221,0.242,0.196,0.219,0.905,0.147,0.152,0.152,0.149,0.955,0.103,0.061,0.13,0.102,0.982
TRAIN_CV,0.663319,0.663319,40,0,0.6809936575052854,0.5759408033826638,0.279,0.273,0.283,0.279,0.905,0.176,0.182,0.13,0.167,0.955,0.154,0.152,0.087,0.14,0.982
TRAIN_CV,0.663848,0.663848,10,0,0.6606553911205075,0.591585623678647,0.309,0.394,0.326,0.326,0.905,0.191,0.182,0.196,0.191,0.955,0.022,0.03,0.022,0.023,0.982
TRAIN_CV,0.696765,0.696765,50,0,0.7204228329809724,0.5920084566596194,0.324,0.303,0.348,0.326,0.905,0.206,0.182,0.109,0.181,0.955,0.125,0.121,0.043,0.107,0.982
TRAIN_CV,0.697442,0.697442,80,0,0.7428964059196618,0.5693023255813953,0.243,0.273,0.217,0.242,0.905,0.147,0.121,0.109,0.135,0.955,0.096,0.091,0.109,0.098,0.982
TRAIN_CV,0.672854,0.672854,110,0,0.7578012684989429,0.5242494714587738,0.206,0.303,0.13,0.205,0.905,0.162,0.212,0.109,0.158,0.955,0.103,0.121,0.087,0.102,0.982
TRAIN_CV,0.690994,0.690994,90,0,0.7486680761099365,0.5552854122621566,0.243,0.242,0.196,0.233,0.905,0.176,0.212,0.152,0.177,0.955,0.081,0.091,0.087,0.084,0.982
TRAIN_CV,0.680994,0.680994,100,0,0.7423678646934461,0.5454756871035941,0.257,0.303,0.152,0.242,0.905,0.154,0.182,0.109,0.149,0.955,0.088,0.061,0.043,0.074,0.982
TRAIN_CV,0.663573,0.663573,120,0,0.752600422832981,0.5244186046511629,0.265,0.303,0.196,0.256,0.905,0.147,0.242,0.109,0.153,0.955,0.088,0.182,0.087,0.102,0.982
